nom;details;adresse;ville;longitude;latitude
NEW BELLA VITA;Restaurant traditionnel;11 RUE VICTOR HUGO;35600 REDON;-2.0854578928675;47.650682766028
NEW DÉLICES D'ASIE;Restaurant traditionnel;119 av gros malhon;35000 RENNES;-1.6859144650297;48.133436343326
O SAVEURS DU LARGE;Restaurant traditionnel;39 RUE NICOLAS BOUVIER;35400 ST MALO;-2.0067084769996;48.64756217
OH MY BICHE;Brasserie;18 MAIL FRANCOIS MITTERRAND;35000 RENNES;-1.6876073345836;48.110106226759
OLIVIER CHIFFOLLEAU;Restaurant de spécialités;5 PLACE DE LA CROIX;35190 BECHEREL;-1.9438390869996;48.295016713001
OUEST INDIES;Restaurant traditionnel;87 BOULEVARD DE LAVAL;35500 VITRE;-1.1933765599996;48.122917223
PDP RENNES LONGCHAMPS;Restaurant traditionnel;316 RUE DE FOUGERES;35700 RENNES;-1.6339646683306;48.132203123233
PEPONE;Restaurant de spécialités;1 PLACE SAINT GILDUIN;35270 COMBOURG;-1.7487992355012;48.410728324168
PIERRICK SALLIOU;Restaurant de spécialités;LE BODO;35380 PLELAN LE GRAND;-2.1018527758922;47.989216293737
PITA PIT;Restaurant traditionnel;8 RUE DE LA VISITATION;35000 RENNES;-1.6790461552888;48.114420580068
PIZZ'AROMZ;Fast-food;16 T RUE DE MACERIA;35520 LA MEZIERE;-1.7518622259996;48.21836366
PIZZA DEL ARTE;Restaurant traditionnel;105 avenue Henri Freville;35200 Rennes;-1.6741518;48.0872106
PIZZA DEL ARTE;Restaurant traditionnel;105 A AVENUE HENRI FREVILLE;35200 RENNES;-1.6736798579996;48.087892991001
PIZZA DEL ARTE;Restaurant traditionnel;52 AVENUE DU CANADA;35207 RENNES CEDEX 2;-1.6799484449996;48.085059850001
PIZZA SALSA;Restaurant de spécialités;3 Rue de la Cité;35400 ST MALO;-2.0261198;48.6358518
PIZZA SPRINT;Snack (sur place);13 RUE DE RENNES;35410 CHATEAUGIRON;-1.5112127;48.0531781
PIZZA SPRINT;Fast-food;16 Rue de Paris;35220 CHATEAUBOURG;-1.4025475;48.1089348
PIZZA TEMPO;Fast-food;130 rue de Fougeres;35700 RENNES;-1.6620370649996;48.122093863
PIZZERIA L' EXCALIBUR;Restaurant traditionnel;35 Avenue de la Libération;35380 PLELAN LE GRAND;-2.0963864;48.0026771
PIZZERIA LE CAPRI;Restaurant de spécialités;9 Boulevard de Saint-Germain;35300 FOUGERES;-1.2094328;48.3622187
PIZZERIA CASTOR BELLUX;Restaurant de spécialités;5 RUE WINSTON CHURCHILL;35800 DINARD;-2.0527324474003;48.634973413267
PIZZERIA COTE COUR;Restaurant de spécialités;7 Allée Rallier du Baty;35000 RENNES;-1.6810663;48.1125948
PIZZERIA CREPERIE LE BORSALINO;Restaurant traditionnel;17 Rue du Couvent;35580 GUIGNEN;-1.8607377;47.9196071
